"PreSens Measurement Studio 2","3.0.1.1503",""
"Date","Time","Channel","User","SensorID","Sensor_Name","delta_t","Time_Unit","Value","O2_Unit","Mode","Phase","Phase_Unit","Amplitude","Amplitude_Unit","Temp","Temp_Unit","Pressure","Pressure_Unit","Salinity","Salinity_Unit","Error","Cal0","Cal0_Unit","T0","T0_Unit","O2Cal2nd","O2_Unit","Cal2nd","Cal2nd_Unit","T2nd","T2nd_Unit","CalPressure","CalPressure_Unit","f1","dPhi1","dkSv1","dPhi2","dkSv2","m","Cal_Mode","SignalLEDCurrent","User_Signal_Intensity","ReferenceLEDCurrent","Reference_Amplitude","Device_Serial","FwVersion","SwVersion","Sensor_Type","BatchID","Calibration_Date","Sensor_Lot","PreSens_Calibr","Battery_Voltage","Battery_Voltage_Unit"
"09/28/2023","14:09:22","2","default","873361848","OXY-CH2","0.000","min","182.366","μmol/L","Humid","20.986","deg","14984","µV","29.913","°C","1018.000","hPa","35.0","pmil","0","52.493","deg","22.941","°C","100.000","%a.s.","21.282","deg","22.942","°C","1019.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","28.00","0","54.00","351486.91","SABD0000000001","AAV1.0.0.11","3.0.1.1503","PSt7-10","000000-000","9/21/2023 10:41:06 AM","0000-00","0","no battery","V"
"09/28/2023","14:09:23","2","default","873361848","OXY-CH2","0.015","min","182.400","μmol/L","Humid","20.985","deg","14980","µV","29.910","°C","1018.000","hPa","35.0","pmil","0","52.493","deg","22.941","°C","100.000","%a.s.","21.282","deg","22.942","°C","1019.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","28.00","0","54.00","351437.28","SABD0000000001","AAV1.0.0.11","3.0.1.1503","PSt7-10","000000-000","9/21/2023 10:41:06 AM","0000-00","0","no battery","V"
"09/28/2023","14:09:24","2","default","873361848","OXY-CH2","0.032","min","182.257","μmol/L","Humid","20.994","deg","14981","µV","29.909","°C","1018.000","hPa","35.0","pmil","0","52.493","deg","22.941","°C","100.000","%a.s.","21.282","deg","22.942","°C","1019.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","28.00","0","54.00","351404.07","SABD0000000001","AAV1.0.0.11","3.0.1.1503","PSt7-10","000000-000","9/21/2023 10:41:06 AM","0000-00","0","no battery","V"
"09/28/2023","14:09:25","2","default","873361848","OXY-CH2","0.049","min","182.526","μmol/L","Humid","20.975","deg","14974","µV","29.917","°C","1018.000","hPa","35.0","pmil","0","52.493","deg","22.941","°C","100.000","%a.s.","21.282","deg","22.942","°C","1019.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","28.00","0","54.00","351388.67","SABD0000000001","AAV1.0.0.11","3.0.1.1503","PSt7-10","000000-000","9/21/2023 10:41:06 AM","0000-00","0","no battery","V"
"09/28/2023","14:09:26","2","default","873361848","OXY-CH2","0.065","min","182.049","μmol/L","Humid","21.006","deg","14974","µV","29.910","°C","1018.000","hPa","35.0","pmil","0","52.493","deg","22.941","°C","100.000","%a.s.","21.282","deg","22.942","°C","1019.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","28.00","0","54.00","351372.17","SABD0000000001","AAV1.0.0.11","3.0.1.1503","PSt7-10","000000-000","9/21/2023 10:41:06 AM","0000-00","0","no battery","V"
"09/28/2023","14:09:27","2","default","873361848","OXY-CH2","0.082","min","182.258","μmol/L","Humid","20.995","deg","14972","µV","29.905","°C","1018.000","hPa","35.0","pmil","0","52.493","deg","22.941","°C","100.000","%a.s.","21.282","deg","22.942","°C","1019.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","28.00","0","54.00","351351.62","SABD0000000001","AAV1.0.0.11","3.0.1.1503","PSt7-10","000000-000","9/21/2023 10:41:06 AM","0000-00","0","no battery","V"
"09/28/2023","14:09:28","2","default","873361848","OXY-CH2","0.099","min","182.148","μmol/L","Humid","21.003","deg","14970","µV","29.901","°C","1018.000","hPa","35.0","pmil","0","52.493","deg","22.941","°C","100.000","%a.s.","21.282","deg","22.942","°C","1019.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","28.00","0","54.00","351344.15","SABD0000000001","AAV1.0.0.11","3.0.1.1503","PSt7-10","000000-000","9/21/2023 10:41:06 AM","0000-00","0","no battery","V"
"09/28/2023","14:09:29","2","default","873361848","OXY-CH2","0.116","min","182.532","μmol/L","Humid","20.984","deg","14969","µV","29.890","°C","1018.000","hPa","35.0","pmil","0","52.493","deg","22.941","°C","100.000","%a.s.","21.282","deg","22.942","°C","1019.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","28.00","0","54.00","351346.54","SABD0000000001","AAV1.0.0.11","3.0.1.1503","PSt7-10","000000-000","9/21/2023 10:41:06 AM","0000-00","0","no battery","V"
"09/28/2023","14:09:30","2","default","873361848","OXY-CH2","0.132","min","182.321","μmol/L","Humid","20.986","deg","14969","µV","29.921","°C","1018.000","hPa","35.0","pmil","0","52.493","deg","22.941","°C","100.000","%a.s.","21.282","deg","22.942","°C","1019.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","28.00","0","54.00","351320.26","SABD0000000001","AAV1.0.0.11","3.0.1.1503","PSt7-10","000000-000","9/21/2023 10:41:06 AM","0000-00","0","no battery","V"
"09/28/2023","14:09:31","2","default","873361848","OXY-CH2","0.149","min","181.969","μmol/L","Humid","21.008","deg","14969","µV","29.917","°C","1018.000","hPa","35.0","pmil","0","52.493","deg","22.941","°C","100.000","%a.s.","21.282","deg","22.942","°C","1019.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","28.00","0","54.00","351318.74","SABD0000000001","AAV1.0.0.11","3.0.1.1503","PSt7-10","000000-000","9/21/2023 10:41:06 AM","0000-00","0","no battery","V"
"09/28/2023","14:09:32","2","default","873361848","OXY-CH2","0.165","min","182.085","μmol/L","Humid","21.002","deg","14972","µV","29.915","°C","1018.000","hPa","35.0","pmil","0","52.493","deg","22.941","°C","100.000","%a.s.","21.282","deg","22.942","°C","1019.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","28.00","0","54.00","351327.32","SABD0000000001","AAV1.0.0.11","3.0.1.1503","PSt7-10","000000-000","9/21/2023 10:41:06 AM","0000-00","0","no battery","V"
"09/28/2023","14:09:33","2","default","873361848","OXY-CH2","0.182","min","182.374","μmol/L","Humid","20.986","deg","14972","µV","29.912","°C","1018.000","hPa","35.0","pmil","0","52.493","deg","22.941","°C","100.000","%a.s.","21.282","deg","22.942","°C","1019.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","28.00","0","54.00","351328.62","SABD0000000001","AAV1.0.0.11","3.0.1.1503","PSt7-10","000000-000","9/21/2023 10:41:06 AM","0000-00","0","no battery","V"
