"PreSens Measurement Studio 2","1.1.2.0",""
"Date","Time","Channel","User","SensorID","Sensor_Name","delta_t","Time_Unit","Value","O2_Unit","Mode","Phase","Phase_Unit","Amplitude","Amplitude_Unit","Temp","Temp_Unit","Pressure","Pressure_Unit","Salinity","Salinity_Unit","Error","Cal0","Cal0_Unit","T0","T0_Unit","O2Cal2nd","O2_Unit","Cal2nd","Cal2nd_Unit","T2nd","T2nd_Unit","CalPressure","CalPressure_Unit","f1","dPhi1","dkSv1","dPhi2","dkSv2","m","Cal_Mode","SignalLEDCurrent","User_Signal_Intensity","ReferenceLEDCurrent","Reference_Amplitude","Device_Serial","FwVersion","SwVersion","Sensor_Type","BatchID","Calibration_Date","Sensor_Lot","PreSens_Calibr","Battery_Voltage","Battery_Voltage_Unit"
"09/22/2023","09:45:12","6","default","811383162","OXY-CH16","0.000","min","181.973","µmol/L","Humid","22.813","deg","43856","µV","27.585","°C","1018.000","hPa","35.0","pmil","0","52.079","deg","23.252","°C","100.000","%a.s.","22.315","deg","23.283","°C","1017.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","30.45","0","114.20","278034.95","SABD0002000012","AAV2.0.0.13","1.1.2.0","PSt7-10","000000-000","9/21/2023 8:47:10","0000-00","0","no battery","V"
"09/22/2023","09:45:13","6","default","811383162","OXY-CH16","0.009","min","181.796","µmol/L","Humid","22.824","deg","43842","µV","27.585","°C","1018.000","hPa","35.0","pmil","0","52.079","deg","23.252","°C","100.000","%a.s.","22.315","deg","23.283","°C","1017.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","30.45","0","114.20","277947.92","SABD0002000012","AAV2.0.0.13","1.1.2.0","PSt7-10","000000-000","9/21/2023 8:47:10","0000-00","0","no battery","V"
"09/22/2023","09:45:14","6","default","811383162","OXY-CH16","0.025","min","181.925","µmol/L","Humid","22.816","deg","43840","µV","27.585","°C","1018.000","hPa","35.0","pmil","0","52.079","deg","23.252","°C","100.000","%a.s.","22.315","deg","23.283","°C","1017.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","30.45","0","114.20","277925.52","SABD0002000012","AAV2.0.0.13","1.1.2.0","PSt7-10","000000-000","9/21/2023 8:47:10","0000-00","0","no battery","V"
"09/22/2023","09:45:15","6","default","811383162","OXY-CH16","0.042","min","181.864","µmol/L","Humid","22.822","deg","43833","µV","27.579","°C","1018.000","hPa","35.0","pmil","0","52.079","deg","23.252","°C","100.000","%a.s.","22.315","deg","23.283","°C","1017.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","30.45","0","114.20","277914.55","SABD0002000012","AAV2.0.0.13","1.1.2.0","PSt7-10","000000-000","9/21/2023 8:47:10","0000-00","0","no battery","V"
"09/22/2023","09:45:16","6","default","811383162","OXY-CH16","0.059","min","181.672","µmol/L","Humid","22.834","deg","43823","µV","27.579","°C","1018.000","hPa","35.0","pmil","0","52.079","deg","23.252","°C","100.000","%a.s.","22.315","deg","23.283","°C","1017.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","30.45","0","114.20","277894.91","SABD0002000012","AAV2.0.0.13","1.1.2.0","PSt7-10","000000-000","9/21/2023 8:47:10","0000-00","0","no battery","V"
"09/22/2023","09:45:17","6","default","811383162","OXY-CH16","0.076","min","181.764","µmol/L","Humid","22.826","deg","43830","µV","27.585","°C","1018.000","hPa","35.0","pmil","0","52.079","deg","23.252","°C","100.000","%a.s.","22.315","deg","23.283","°C","1017.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","30.45","0","114.20","277881.69","SABD0002000012","AAV2.0.0.13","1.1.2.0","PSt7-10","000000-000","9/21/2023 8:47:10","0000-00","0","no battery","V"
"09/22/2023","09:45:18","6","default","811383162","OXY-CH16","0.093","min","181.636","µmol/L","Humid","22.834","deg","43832","µV","27.585","°C","1018.000","hPa","35.0","pmil","0","52.079","deg","23.252","°C","100.000","%a.s.","22.315","deg","23.283","°C","1017.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","30.45","0","114.20","277875.00","SABD0002000012","AAV2.0.0.13","1.1.2.0","PSt7-10","000000-000","9/21/2023 8:47:10","0000-00","0","no battery","V"
"09/22/2023","09:45:19","6","default","811383162","OXY-CH16","0.109","min","181.652","µmol/L","Humid","22.833","deg","43827","µV","27.585","°C","1018.000","hPa","35.0","pmil","0","52.079","deg","23.252","°C","100.000","%a.s.","22.315","deg","23.283","°C","1017.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","30.45","0","114.20","277853.18","SABD0002000012","AAV2.0.0.13","1.1.2.0","PSt7-10","000000-000","9/21/2023 8:47:10","0000-00","0","no battery","V"
"09/22/2023","09:45:20","6","default","811383162","OXY-CH16","0.126","min","181.684","µmol/L","Humid","22.831","deg","43832","µV","27.585","°C","1018.000","hPa","35.0","pmil","0","52.079","deg","23.252","°C","100.000","%a.s.","22.315","deg","23.283","°C","1017.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","30.45","0","114.20","277851.56","SABD0002000012","AAV2.0.0.13","1.1.2.0","PSt7-10","000000-000","9/21/2023 8:47:10","0000-00","0","no battery","V"
"09/22/2023","09:45:21","6","default","811383162","OXY-CH16","0.142","min","181.604","µmol/L","Humid","22.836","deg","43824","µV","27.585","°C","1018.000","hPa","35.0","pmil","0","52.079","deg","23.252","°C","100.000","%a.s.","22.315","deg","23.283","°C","1017.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","30.45","0","114.20","277842.53","SABD0002000012","AAV2.0.0.13","1.1.2.0","PSt7-10","000000-000","9/21/2023 8:47:10","0000-00","0","no battery","V"
