colony_id,species,genotype,fragment_number,tag color,Temp.Cat,,,species,genotypes,fragments,
Mcap-A1,Montipora capitata,A,1,,10,,,3,10,10,300
Mcap-A2,Montipora capitata,A,2,,16,,,,,,
Mcap-A3,Montipora capitata,A,3,,22,,,"16, 22, 26, 29, 33, 36, and 40°C",,,
Mcap-A4,Montipora capitata,A,4,,26,,,,,,
Mcap-A5,Montipora capitata,A,5,,29,,,,,,
Mcap-A6,Montipora capitata,A,6,,33,,,,,,
Mcap-A7,Montipora capitata,A,7,,36,,,,,,
Mcap-A8,Montipora capitata,A,8,,40,,,,,,
Mcap-A9,Montipora capitata,A,9,,extra,,,,,,
Mcap-A10,Montipora capitata,A,10,,extra,,,,,,
Mcap-B1,Montipora capitata,B,1,,10,,,,,,
Mcap-B2,Montipora capitata,B,2,,16,,,,,,
Mcap-B3,Montipora capitata,B,3,,22,,,,,,
Mcap-B4,Montipora capitata,B,4,,26,,,,,,
Mcap-B5,Montipora capitata,B,5,,29,,,,,,
Mcap-B6,Montipora capitata,B,6,,33,,,,,,
Mcap-B7,Montipora capitata,B,7,,36,,,,,,
Mcap-B8,Montipora capitata,B,8,,40,,,,,,
Mcap-B9,Montipora capitata,B,9,,extra,,,,,,
Mcap-B10,Montipora capitata,B,10,,extra,,,,,,
Mcap-C1,Montipora capitata,C,1,,10,,,,,,
Mcap-C2,Montipora capitata,C,2,,16,,,,,,
Mcap-C3,Montipora capitata,C,3,,22,,,,,,
Mcap-C4,Montipora capitata,C,4,,26,,,,,,
Mcap-C5,Montipora capitata,C,5,,29,,,,,,
Mcap-C6,Montipora capitata,C,6,,33,,,,,,
Mcap-C7,Montipora capitata,C,7,,36,,,,,,
Mcap-C8,Montipora capitata,C,8,,40,,,,,,
Mcap-C9,Montipora capitata,C,9,,extra,,,,,,
Mcap-C10,Montipora capitata,C,10,,extra,,,,,,
Mcap-D1,Montipora capitata,D,1,,10,,,,,,
Mcap-D2,Montipora capitata,D,2,,16,,,,,,
Mcap-D3,Montipora capitata,D,3,,22,,,,,,
Mcap-D4,Montipora capitata,D,4,,26,,,,,,
Mcap-D5,Montipora capitata,D,5,,29,,,,,,
Mcap-D6,Montipora capitata,D,6,,33,,,,,,
Mcap-D7,Montipora capitata,D,7,,36,,,,,,
Mcap-D8,Montipora capitata,D,8,,40,,,,,,
